country,code,region,year,gdp_per_capita,hdi,life_expectancy,literacy_rate,internet_usage_pct,co2_per_capita,fertility_rate,infant_mortality,education_spending_pct,health_spending_pct,gini_index,political_stability,urbanization_rate,unemployment_rate,renewable_energy_pct,access_to_water_pct,maternal_mortality,population
Afghanistan,AFG,Asia,2023,878.5,0.415,69.48,88.62,55.47,0.383,4.481,66.81,4.964,6.34,51.6,-0.0231,50.55,15.49,51.84,66.89,568.4,63098636
Albania,ALB,Europe,2023,7247.0,0.5677,74.92,93.77,66.59,2.265,3.615,49.7,5.768,8.624,50.59,0.508,62.76,9.56,48.93,78.58,429.2,28650480
Algeria,DZA,Africa,2023,5904.3,0.5187,73.22,92.22,65.11,1.303,3.88,56.09,5.501,8.375,50.34,0.2256,58.74,11.31,48.61,75.5,457.0,377396994
Angola,AGO,Africa,2023,1515.0,0.4847,72.53,89.67,60.33,0.852,4.232,59.11,5.145,7.488,47.52,0.3823,56.26,14.47,49.83,71.31,487.0,95214553
Argentina,ARG,Americas,2023,20968.2,0.6095,75.73,94.89,70.27,3.187,3.486,45.7,6.028,8.922,49.14,0.933,66.64,9.54,46.29,80.78,376.5,187563361
Armenia,ARM,Asia,2023,5332.4,0.5434,74.04,92.85,68.37,1.561,3.948,52.61,5.271,8.468,43.6,0.5205,61.62,10.77,48.03,78.5,433.4,235126852
Australia,AUS,Oceania,2023,64515.7,0.9087,83.68,99.9,86.21,20.006,1.444,10.38,7.537,12.947,43.22,1.9408,89.16,6.13,29.02,99.9,47.0,114267744
Austria,AUT,Europe,2023,48343.1,0.8922,83.39,99.9,85.16,20.841,1.733,12.75,7.577,12.195,44.32,1.5372,87.66,7.33,34.04,99.66,74.3,44771197
Bangladesh,BGD,Asia,2023,6201.8,0.4889,71.93,91.5,59.02,0.871,4.21,58.63,5.08,7.466,52.34,0.192,57.33,12.43,52.27,71.97,488.6,153788407
Belgium,BEL,Europe,2023,43883.8,0.8761,83.15,99.9,86.68,17.313,1.824,12.83,8.127,12.077,40.17,1.7925,85.95,6.99,35.39,99.19,80.9,68621401
