country,code,region,year,gdp_per_capita,hdi,life_expectancy,literacy_rate,internet_usage_pct,co2_per_capita,fertility_rate,infant_mortality,education_spending_pct,health_spending_pct,gini_index,political_stability,urbanization_rate,unemployment_rate,renewable_energy_pct,access_to_water_pct,maternal_mortality,population
Algeria,DZA,Africa,2010,4228.1,0.4909,72.14,87.32,25.38,1.185,4.528,63.88,5.521,8.038,50.25,0.151,53.42,14.99,39.19,67.62,553.0,260960120
Algeria,DZA,Africa,2011,4374.9,0.4849,72.37,86.1,34.32,1.176,4.416,65.19,5.321,7.755,52.43,0.2402,53.22,10.16,37.6,68.63,551.4,268501465
Algeria,DZA,Africa,2012,4500.8,0.4914,72.45,87.41,33.08,1.145,4.22,64.52,5.152,7.301,44.42,-0.0675,52.5,14.07,43.97,67.39,554.0,276758265
Algeria,DZA,Africa,2013,4649.6,0.493,72.46,87.03,31.79,1.453,4.162,64.55,5.712,7.988,50.39,0.0478,54.45,11.86,43.34,68.68,522.7,285130821
Algeria,DZA,Africa,2014,4744.8,0.4983,72.98,89.22,34.49,1.174,4.333,60.51,5.411,8.0,46.9,0.1721,53.59,11.3,43.23,67.58,524.3,292485149
Algeria,DZA,Africa,2015,4977.9,0.4981,72.64,89.21,41.27,1.441,4.272,60.71,5.629,7.977,46.18,0.4633,54.78,11.69,45.33,70.77,511.4,300630776
Algeria,DZA,Africa,2016,5121.3,0.5005,72.77,88.59,48.94,1.167,4.234,60.81,5.648,7.732,48.7,0.1647,55.39,13.15,50.41,69.77,499.5,309798657
Algeria,DZA,Africa,2017,5306.3,0.5077,72.74,88.71,41.75,1.43,4.236,59.24,5.359,7.243,50.1,-0.1236,55.72,11.2,43.7,70.41,499.2,318471728
Algeria,DZA,Africa,2018,5492.8,0.5102,73.21,88.69,50.17,1.467,4.018,59.74,5.708,7.64,48.69,0.352,56.9,12.52,42.23,72.09,481.0,326397919
Algeria,DZA,Africa,2019,5774.8,0.5169,72.91,90.44,48.71,1.339,4.119,57.08,6.031,7.703,49.19,0.0783,57.96,12.4,47.27,71.46,474.2,335336796
Algeria,DZA,Africa,2020,5570.1,0.51,72.46,91.29,60.56,1.338,4.147,57.42,5.525,8.288,48.18,0.2699,57.67,11.08,49.58,72.47,478.4,345066922
Algeria,DZA,Africa,2021,5681.0,0.5174,73.28,91.4,57.89,1.637,3.993,55.46,5.79,6.999,48.83,0.1244,57.35,12.4,47.26,71.42,467.5,355634989
Algeria,DZA,Africa,2022,5686.3,0.5152,73.31,93.08,62.85,1.329,4.132,55.99,5.473,7.737,48.06,0.1097,58.5,12.01,48.0,74.36,480.6,365490284
Algeria,DZA,Africa,2023,5904.3,0.5187,73.22,92.22,65.11,1.303,3.88,56.09,5.501,8.375,50.34,0.2256,58.74,11.31,48.61,75.5,457.0,377396994
Australia,AUS,Oceania,2010,56169.4,0.8716,83.11,97.67,45.18,17.316,2.15,20.09,7.707,12.296,42.87,1.7896,82.98,9.43,27.09,94.31,141.2,106257972
Australia,AUS,Oceania,2011,57469.1,0.8712,82.69,98.72,47.89,16.638,1.972,19.76,7.448,11.927,39.56,1.6895,82.0,6.23,25.85,93.58,145.1,106902618
Australia,AUS,Oceania,2012,58441.5,0.8827,83.41,98.92,52.88,16.905,2.127,18.93,7.714,12.847,39.68,1.6414,83.66,6.77,22.12,96.29,123.1,107088528
Australia,AUS,Oceania,2013,59722.2,0.8804,82.7,99.47,48.32,16.43,1.964,18.01,7.43,12.254,43.73,2.1006,85.44,9.73,28.61,94.81,130.4,107990784
Australia,AUS,Oceania,2014,60778.8,0.879,83.73,99.9,57.22,18.817,1.957,16.76,7.801,12.451,39.45,1.949,84.34,5.16,24.46,94.87,136.2,108550905
Australia,AUS,Oceania,2015,60910.4,0.8788,83.38,99.85,60.18,14.672,1.931,18.22,7.592,11.915,40.78,1.8356,83.98,8.93,27.65,95.09,106.8,109235469
Australia,AUS,Oceania,2016,61776.9,0.8816,83.09,99.9,63.73,17.753,1.925,14.17,7.559,12.561,39.97,1.8838,85.65,7.01,29.05,95.19,108.6,110033740
Australia,AUS,Oceania,2017,63094.0,0.891,83.26,98.75,69.29,19.456,1.882,13.48,8.329,12.306,41.33,1.6102,84.65,8.7,32.82,97.19,91.0,110691173
Australia,AUS,Oceania,2018,64543.5,0.8943,83.37,99.71,70.8,21.975,1.812,14.26,8.108,12.024,45.65,1.9811,88.27,6.39,35.08,98.94,93.4,111170939
Australia,AUS,Oceania,2019,65897.9,0.8966,83.84,99.9,72.99,19.939,1.741,15.46,6.947,12.828,37.98,1.8714,87.18,9.05,28.26,99.9,73.2,112005791
Australia,AUS,Oceania,2020,62105.5,0.8975,83.79,99.9,79.67,17.376,1.784,11.63,8.085,12.75,37.73,1.6133,87.35,6.87,27.47,99.49,79.7,112695715
Australia,AUS,Oceania,2021,62669.3,0.8986,83.69,99.9,79.2,17.636,1.722,12.29,7.709,12.439,41.65,1.8925,88.0,6.41,34.87,99.62,68.5,113208538
Australia,AUS,Oceania,2022,62801.8,0.9097,83.61,99.9,83.84,20.32,1.476,10.39,7.747,12.889,42.66,1.7955,88.48,6.95,29.52,99.9,53.9,113874884
Australia,AUS,Oceania,2023,64515.7,0.9087,83.68,99.9,86.21,20.006,1.444,10.38,7.537,12.947,43.22,1.9408,89.16,6.13,29.02,99.9,47.0,114267744
Brazil,BRA,Americas,2010,7546.0,0.5522,73.86,88.96,28.45,2.225,4.008,55.26,5.577,9.447,49.49,0.138,59.13,10.18,35.25,70.17,482.3,214943083
Brazil,BRA,Americas,2011,7803.0,0.5499,73.77,89.04,33.14,2.57,3.967,56.63,5.928,8.815,43.8,0.2714,58.17,10.3,43.0,71.03,478.2,219586468
Brazil,BRA,Americas,2012,7996.0,0.5544,73.98,89.98,37.51,2.382,3.93,56.08,5.772,8.853,53.38,-0.0839,59.71,11.47,42.59,73.37,470.4,224170918
Brazil,BRA,Americas,2013,8250.2,0.5619,74.46,89.81,35.98,2.966,3.896,54.33,5.546,9.717,45.52,0.3085,59.84,11.98,41.8,75.58,462.1,228432088
Brazil,BRA,Americas,2014,8516.3,0.5724,75.0,91.44,41.5,2.347,3.827,54.3,5.826,8.658,50.9,0.3916,61.03,12.18,38.71,74.89,448.3,232146653
Brazil,BRA,Americas,2015,8651.6,0.5645,74.29,90.35,41.64,2.448,3.784,51.87,6.595,9.075,46.13,0.5164,60.6,12.66,37.97,75.69,442.9,236075236
Brazil,BRA,Americas,2016,8926.7,0.5706,74.44,93.24,48.44,2.682,3.758,53.19,5.541,8.891,43.15,0.6572,60.01,11.49,45.05,76.19,446.7,240781681
Brazil,BRA,Americas,2017,9107.1,0.5782,75.19,90.94,48.34,2.886,3.711,50.93,6.235,9.017,48.21,0.4436,61.58,12.09,43.13,75.81,433.5,245554175
Brazil,BRA,Americas,2018,9193.2,0.5786,74.9,94.02,49.79,2.509,3.652,50.2,6.452,8.35,46.59,0.6871,62.26,11.27,39.36,76.46,429.5,249803878
Brazil,BRA,Americas,2019,9388.7,0.5794,74.67,92.44,55.52,2.643,3.777,49.12,5.802,8.548,45.81,0.4102,63.21,9.78,44.31,74.96,411.1,254409164
Brazil,BRA,Americas,2020,9012.8,0.5797,75.0,93.72,49.94,2.865,3.589,49.7,6.102,9.266,48.0,0.2765,61.37,10.63,37.94,76.67,409.0,258975894
Brazil,BRA,Americas,2021,9239.8,0.5886,75.3,93.46,66.18,2.295,3.5,46.88,6.008,9.036,49.03,1.2688,61.77,11.67,42.59,77.72,393.0,262861854
